Date,Short Date,Tower,Observatory,Avg
"Sunday, November 9, 2025",11/9/25,?,0,0
"Monday, November 10, 2025",11/10/25,?,0,0
"Tuesday, November 11, 2025",11/11/25,0,0,0
"Wednesday, November 12, 2025",11/12/25,0,0,0
"Thursday, November 13, 2025",11/13/25,0,0,0
"Friday, November 14, 2025",11/14/25,0,0,0
"Saturday, November 15, 2025",11/15/25,1,1,1
"Sunday, November 16, 2025",11/16/25,?,0,0
"Monday, November 17, 2025",11/17/25,?,0,0
"Tuesday, November 18, 2025",11/18/25,?,0,0
"Wednesday, November 19, 2025",11/19/25,?,0.5,0.5
"Thursday, November 20, 2025",11/20/25,0.5,0,0.25
"Friday, November 21, 2025",11/21/25,0,0,0
"Saturday, November 22, 2025",11/22/25,0,0,0
"Sunday, November 23, 2025",11/23/25,0,0,0
"Monday, November 24, 2025",11/24/25,0,0,0
"Tuesday, November 25, 2025",11/25/25,0,0,0
"Wednesday, November 26, 2025",11/26/25,0,0,0
"Thursday, November 27, 2025",11/27/25,0,0,0
"Friday, November 28, 2025",11/28/25,0,0,0
"Saturday, November 29, 2025",11/29/25,?,0,0
"Sunday, November 30, 2025",11/30/25,?,0,0
"Monday, December 1, 2025",12/1/25,0,0,0
"Tuesday, December 2, 2025",12/2/25,0,0,0
"Wednesday, December 3, 2025",12/3/25,0,0,0
"Thursday, December 4, 2025",12/4/25,0,0,0
"Friday, December 5, 2025",12/5/25,0,0,0
"Saturday, December 6, 2025",12/6/25,0,0,0
"Sunday, December 7, 2025",12/7/25,0,0,0
"Monday, December 8, 2025",12/8/25,0,0,0
"Tuesday, December 9, 2025",12/9/25,0,0,0
"Wednesday, December 10, 2025",12/10/25,0,0,0
"Thursday, December 11, 2025",12/11/25,0,0,0
"Friday, December 12, 2025",12/12/25,0,0,0
"Saturday, December 13, 2025",12/13/25,0,0,0
"Sunday, December 14, 2025",12/14/25,0,0,0
"Monday, December 15, 2025",12/15/25,0,0,0
"Tuesday, December 16, 2025",12/16/25,1,0.5,0.75
"Wednesday, December 17, 2025",12/17/25,0,0,0
"Thursday, December 18, 2025",12/18/25,0,0,0
"Friday, December 19, 2025",12/19/25,0,0,0
"Saturday, December 20, 2025",12/20/25,0,0,0
"Sunday, December 21, 2025",12/21/25,0,0,0
"Monday, December 22, 2025",12/22/25,0,0,0
"Tuesday, December 23, 2025",12/23/25,0,0.5,0.25
"Wednesday, December 24, 2025",12/24/25,0,0,0
"Thursday, December 25, 2025",12/25/25,0,0,0
"Friday, December 26, 2025",12/26/25,0,0,0
"Saturday, December 27, 2025",12/27/25,0,0,0
"Sunday, December 28, 2025",12/28/25,0,0,0
"Monday, December 29, 2025",12/29/25,0,0,0
"Tuesday, December 30, 2025",12/30/25,0,0,0
"Wednesday, December 31, 2025",12/31/25,0,0,0
"Thursday, January 1, 2026",1/1/26,0,0,0
"Friday, January 2, 2026",1/2/26,0,0,0
"Saturday, January 3, 2026",1/3/26,0,0,0
